repo,bugid,version,result
pandas,102,fixed,pass
pandas,103,fixed,error
pandas,104,fixed,pass
pandas,105,fixed,error
pandas,106,fixed,pass
pandas,107,fixed,error
pandas,108,fixed,error
pandas,109,fixed,pass
pandas,110,fixed,pass
pandas,111,fixed,pass
pandas,112,fixed,pass
pandas,113,fixed,pass
pandas,114,fixed,pass
pandas,115,fixed,error
pandas,116,fixed,error
pandas,117,fixed,pass
pandas,118,fixed,pass
pandas,119,fixed,pass
pandas,120,fixed,error
pandas,121,fixed,pass
pandas,122,fixed,pass
pandas,123,fixed,error
pandas,124,fixed,pass
pandas,125,fixed,pass
pandas,126,fixed,error
pandas,127,fixed,pass
pandas,128,fixed,pass
pandas,129,fixed,error
pandas,130,fixed,pass
pandas,131,fixed,pass
pandas,132,fixed,pass
pandas,133,fixed,pass
pandas,134,fixed,pass
pandas,135,fixed,pass
pandas,136,fixed,error
pandas,137,fixed,pass
pandas,138,fixed,pass
pandas,139,fixed,pass
pandas,140,fixed,error
pandas,141,fixed,error
pandas,142,fixed,pass
pandas,143,fixed,pass
pandas,144,fixed,pass
pandas,145,fixed,error
pandas,146,fixed,error
pandas,147,fixed,pass
pandas,148,fixed,pass
pandas,149,fixed,error
pandas,150,fixed,pass
pandas,151,fixed,pass
pandas,152,fixed,error
pandas,153,fixed,pass
pandas,154,fixed,pass
spacy,1,fixed,pass
spacy,2,fixed,pass
thefuck,3,fixed,pass
thefuck,4,fixed,pass
thefuck,7,fixed,pass
thefuck,9,fixed,pass
thefuck,20,fixed,pass
thefuck,21,fixed,pass
thefuck,23,fixed,pass
thefuck,26,fixed,pass
thefuck,31,fixed,pass
tqdm,2,fixed,pass
tqdm,8,fixed,pass
tqdm,9,fixed,pass
youtube-dl,15,fixed,pass
youtube-dl,16,fixed,pass
youtube-dl,17,fixed,pass
youtube-dl,18,fixed,pass
youtube-dl,19,fixed,pass
youtube-dl,20,fixed,pass
youtube-dl,21,fixed,pass
youtube-dl,22,fixed,pass
youtube-dl,23,fixed,pass
youtube-dl,24,fixed,pass
youtube-dl,25,fixed,pass
youtube-dl,26,fixed,pass
youtube-dl,27,fixed,pass
youtube-dl,28,fixed,pass
youtube-dl,29,fixed,pass
youtube-dl,30,fixed,pass
youtube-dl,31,fixed,pass
youtube-dl,32,fixed,pass
youtube-dl,33,fixed,pass
youtube-dl,34,fixed,pass
youtube-dl,35,fixed,pass
youtube-dl,36,fixed,pass
youtube-dl,37,fixed,pass
youtube-dl,38,fixed,pass
youtube-dl,39,fixed,pass
youtube-dl,40,fixed,pass
youtube-dl,41,fixed,pass
youtube-dl,42,fixed,pass
youtube-dl,43,fixed,pass
sanic,1,fixed,error
sanic,2,fixed,error
pandas,155,fixed,error
pandas,156,fixed,pass
pandas,157,fixed,error
pandas,158,fixed,pass
pandas,159,fixed,pass
pandas,160,fixed,error
pandas,161,fixed,pass
pandas,162,fixed,error
pandas,163,fixed,pass
pandas,164,fixed,pass
pandas,165,fixed,pass
pandas,166,fixed,error
pandas,167,fixed,pass
pandas,168,fixed,error
pandas,169,fixed,pass
sanic,3,fixed,error
sanic,4,fixed,error
sanic,5,fixed,error
scrapy,1,fixed,pass
scrapy,2,fixed,pass
scrapy,3,fixed,pass
scrapy,4,fixed,pass
scrapy,5,fixed,pass
scrapy,6,fixed,error
scrapy,7,fixed,pass
scrapy,8,fixed,pass
scrapy,9,fixed,error
scrapy,10,fixed,pass
scrapy,11,fixed,error
scrapy,12,fixed,error
scrapy,13,fixed,pass
scrapy,14,fixed,error
scrapy,15,fixed,pass
scrapy,16,fixed,pass
scrapy,17,fixed,pass
scrapy,18,fixed,pass
scrapy,19,fixed,pass
scrapy,20,fixed,pass
scrapy,21,fixed,pass
scrapy,22,fixed,pass
scrapy,23,fixed,pass
scrapy,24,fixed,error
scrapy,25,fixed,error
scrapy,26,fixed,error
scrapy,27,fixed,pass
scrapy,28,fixed,error
scrapy,29,fixed,pass
scrapy,30,fixed,pass
scrapy,31,fixed,pass
scrapy,32,fixed,pass
scrapy,33,fixed,error
scrapy,34,fixed,pass
scrapy,35,fixed,pass
scrapy,36,fixed,pass
scrapy,37,fixed,pass
scrapy,38,fixed,error
scrapy,39,fixed,pass
scrapy,40,fixed,pass
spacy,3,fixed,error
spacy,4,fixed,error
spacy,5,fixed,pass
spacy,6,fixed,pass
spacy,7,fixed,pass
spacy,8,fixed,pass
spacy,9,fixed,pass
spacy,10,fixed,pass
thefuck,1,fixed,error
thefuck,2,fixed,error
thefuck,5,fixed,pass
thefuck,6,fixed,error
thefuck,8,fixed,pass
thefuck,10,fixed,error
thefuck,11,fixed,error
thefuck,12,fixed,pass
thefuck,13,fixed,pass
thefuck,14,fixed,pass
thefuck,15,fixed,pass
thefuck,16,fixed,pass
thefuck,17,fixed,pass
thefuck,18,fixed,pass
thefuck,19,fixed,pass
thefuck,22,fixed,pass
thefuck,24,fixed,pass
thefuck,25,fixed,error
thefuck,27,fixed,error
thefuck,28,fixed,error
thefuck,29,fixed,pass
thefuck,30,fixed,pass
thefuck,32,fixed,pass
tornado,1,fixed,pass
tornado,2,fixed,pass
tornado,3,fixed,pass
tornado,4,fixed,pass
tornado,5,fixed,pass
tornado,6,fixed,pass
tornado,7,fixed,pass
tornado,8,fixed,pass
tornado,9,fixed,pass
tornado,10,fixed,pass
tornado,11,fixed,pass
tornado,12,fixed,pass
tornado,13,fixed,pass
tornado,14,fixed,pass
tornado,15,fixed,pass
tornado,16,fixed,error
tqdm,1,fixed,error
tqdm,3,fixed,pass
tqdm,4,fixed,error
tqdm,5,fixed,pass
tqdm,6,fixed,pass
tqdm,7,fixed,pass
