repo,bugid,version,result
matplotlib,5,fixed,pass
youtube-dl,18,fixed,pass
tornado,15,buggy,fail
matplotlib,6,buggy,fail
youtube-dl,19,buggy,fail
youtube-dl,19,fixed,pass
tornado,15,fixed,pass
matplotlib,6,fixed,pass
youtube-dl,20,buggy,fail
tornado,16,buggy,fail
matplotlib,7,buggy,fail
youtube-dl,20,fixed,pass
tornado,16,fixed,pass
matplotlib,7,fixed,pass
youtube-dl,21,buggy,fail
black,1,buggy,fail
thefuck,1,fixed,pass
youtube-dl,21,fixed,pass
ansible,3,fixed,pass
youtube-dl,22,buggy,fail
matplotlib,8,buggy,fail
tqdm,3,fixed,pass
youtube-dl,22,fixed,pass
youtube-dl,23,buggy,fail
matplotlib,8,fixed,pass
keras,1,fixed,pass
youtube-dl,23,fixed,pass
httpie,2,buggy,fail
matplotlib,9,buggy,fail
youtube-dl,24,buggy,fail
matplotlib,9,fixed,pass
youtube-dl,24,fixed,pass
youtube-dl,25,buggy,fail
matplotlib,10,buggy,fail
ansible,4,buggy,fail
youtube-dl,25,fixed,pass
matplotlib,10,fixed,pass
youtube-dl,26,buggy,fail
youtube-dl,26,fixed,pass
matplotlib,11,buggy,fail
matplotlib,11,fixed,pass
tqdm,4,buggy,fail
matplotlib,12,buggy,fail
matplotlib,12,fixed,pass
ansible,4,fixed,pass
matplotlib,13,buggy,fail
matplotlib,13,fixed,pass
fastapi,1,buggy,fail
matplotlib,14,buggy,fail
matplotlib,14,fixed,pass
matplotlib,15,buggy,fail
httpie,2,fixed,pass
matplotlib,15,fixed,pass
tqdm,4,fixed,pass
matplotlib,16,buggy,fail
scrapy,1,fixed,pass
matplotlib,16,fixed,pass
matplotlib,17,buggy,fail
cookiecutter,2,buggy,fail
matplotlib,17,fixed,pass
keras,2,buggy,fail
matplotlib,18,buggy,fail
ansible,5,buggy,fail
matplotlib,18,fixed,fail
matplotlib,19,buggy,fail
tqdm,5,buggy,fail
matplotlib,19,fixed,pass
thefuck,2,buggy,fail
matplotlib,20,buggy,fail
matplotlib,20,fixed,pass
ansible,5,fixed,pass
matplotlib,21,buggy,fail
httpie,3,buggy,fail
matplotlib,21,fixed,pass
matplotlib,22,buggy,fail
tqdm,5,fixed,pass
matplotlib,22,fixed,pass
matplotlib,23,buggy,fail
matplotlib,23,fixed,pass
black,1,fixed,pass
matplotlib,24,buggy,fail
matplotlib,24,fixed,pass
matplotlib,25,buggy,fail
cookiecutter,2,fixed,pass
matplotlib,25,fixed,pass
youtube-dl,27,buggy,fail
matplotlib,26,buggy,unknown
keras,2,fixed,pass
matplotlib,26,fixed,unknown
tqdm,6,buggy,fail
matplotlib,27,buggy,unknown
matplotlib,27,fixed,unknown
matplotlib,28,buggy,unknown
ansible,6,buggy,fail
scrapy,2,buggy,fail
httpie,3,fixed,pass
matplotlib,28,fixed,unknown
matplotlib,29,buggy,fail
matplotlib,29,fixed,pass
matplotlib,30,buggy,fail
matplotlib,30,fixed,pass
thefuck,2,fixed,pass
spacy,1,buggy,fail
tqdm,6,fixed,pass
sanic,1,buggy,fail
ansible,6,fixed,fail
tqdm,7,buggy,fail
spacy,1,fixed,pass
youtube-dl,27,fixed,pass
keras,3,buggy,fail
fastapi,1,fixed,pass
cookiecutter,3,buggy,fail
tqdm,7,fixed,pass
luigi,1,buggy,fail
scrapy,2,fixed,pass
ansible,7,buggy,error
tqdm,8,buggy,fail
thefuck,3,buggy,fail
cookiecutter,3,fixed,pass
keras,3,fixed,pass
youtube-dl,28,buggy,fail
tqdm,8,fixed,pass
black,2,buggy,fail
ansible,7,fixed,error
tqdm,9,buggy,fail
scrapy,3,buggy,fail
ansible,8,buggy,pass
httpie,5,buggy,fail
keras,4,buggy,fail
tqdm,9,fixed,pass
youtube-dl,28,fixed,pass
thefuck,3,fixed,pass
cookiecutter,4,buggy,unknown
ansible,8,fixed,pass
httpie,5,fixed,pass
fastapi,2,buggy,fail
cookiecutter,4,fixed,unknown
keras,4,fixed,pass
youtube-dl,29,buggy,fail
black,2,fixed,pass
scrapy,3,fixed,pass
ansible,9,buggy,error
thefuck,4,buggy,fail
ansible,9,fixed,error
keras,5,buggy,fail
youtube-dl,29,fixed,pass
sanic,1,fixed,fail
ansible,10,buggy,error
scrapy,4,buggy,fail
thefuck,4,fixed,pass
keras,5,fixed,pass
youtube-dl,30,buggy,fail
ansible,10,fixed,error
fastapi,2,fixed,pass
black,3,buggy,fail
spacy,2,buggy,fail
ansible,11,buggy,error
scrapy,4,fixed,pass
keras,6,buggy,fail
youtube-dl,30,fixed,pass
thefuck,5,buggy,fail
luigi,1,fixed,fail
ansible,11,fixed,error
spacy,2,fixed,pass
keras,6,fixed,pass
youtube-dl,31,buggy,fail
ansible,12,buggy,pass
thefuck,5,fixed,pass
scrapy,5,buggy,fail
black,3,fixed,pass
ansible,12,fixed,pass
keras,7,buggy,fail
youtube-dl,31,fixed,pass
fastapi,3,buggy,fail
youtube-dl,32,buggy,fail
youtube-dl,32,fixed,pass
youtube-dl,33,buggy,fail
youtube-dl,33,fixed,pass
youtube-dl,34,buggy,fail
youtube-dl,34,fixed,pass
youtube-dl,35,buggy,fail
youtube-dl,35,fixed,pass
youtube-dl,36,buggy,fail
youtube-dl,36,fixed,pass
youtube-dl,37,buggy,fail
youtube-dl,37,fixed,pass
ansible,13,buggy,pass
youtube-dl,38,buggy,fail
youtube-dl,38,fixed,pass
scrapy,5,fixed,pass
youtube-dl,39,buggy,fail
youtube-dl,39,fixed,pass
youtube-dl,40,buggy,fail
youtube-dl,40,fixed,pass
thefuck,6,buggy,fail
youtube-dl,41,buggy,fail
youtube-dl,41,fixed,pass
youtube-dl,42,buggy,fail
youtube-dl,42,fixed,pass
youtube-dl,43,buggy,fail
youtube-dl,43,fixed,pass
keras,7,fixed,pass
ansible,13,fixed,pass
sanic,2,buggy,pass
thefuck,6,fixed,pass
black,4,buggy,fail
keras,8,buggy,fail
ansible,14,buggy,fail
scrapy,6,buggy,fail
fastapi,3,fixed,pass
ansible,14,fixed,pass
keras,8,fixed,pass
thefuck,7,buggy,fail
ansible,15,buggy,fail
scrapy,6,fixed,fail
black,4,fixed,pass
spacy,3,buggy,fail
luigi,2,buggy,fail
keras,9,buggy,fail
ansible,15,fixed,pass
spacy,3,fixed,pass
thefuck,7,fixed,pass
ansible,16,buggy,fail
keras,9,fixed,pass
scrapy,7,buggy,fail
ansible,16,fixed,pass
sanic,2,fixed,pass
spacy,4,buggy,unknown
fastapi,4,buggy,fail
keras,10,buggy,fail
thefuck,8,buggy,fail
black,5,buggy,fail
spacy,4,fixed,unknown
ansible,17,buggy,fail
scrapy,7,fixed,pass
keras,10,fixed,pass
ansible,17,fixed,pass
thefuck,8,fixed,pass
scrapy,8,buggy,fail
ansible,18,buggy,fail
keras,11,buggy,fail
black,5,fixed,pass
ansible,18,fixed,pass
fastapi,4,fixed,pass
thefuck,9,buggy,fail
keras,11,fixed,pass
scrapy,8,fixed,pass
luigi,2,fixed,fail
thefuck,9,fixed,pass
keras,12,buggy,pass
scrapy,9,buggy,fail
black,6,buggy,fail
sanic,3,buggy,fail
fastapi,5,buggy,fail
keras,12,fixed,pass
thefuck,10,buggy,fail
spacy,5,buggy,fail
scrapy,9,fixed,fail
spacy,5,fixed,pass
thefuck,10,fixed,pass
black,6,fixed,pass
keras,13,buggy,fail
spacy,6,buggy,fail
scrapy,10,buggy,fail
spacy,6,fixed,pass
thefuck,11,buggy,fail
fastapi,5,fixed,pass
keras,13,fixed,pass
scrapy,10,fixed,pass
thefuck,11,fixed,fail
black,7,buggy,fail
sanic,3,fixed,fail
luigi,3,buggy,fail
keras,14,buggy,unknown
thefuck,12,buggy,fail
fastapi,6,buggy,fail
keras,14,fixed,unknown
scrapy,11,buggy,fail
black,7,fixed,pass
thefuck,12,fixed,pass
keras,15,buggy,pass
scrapy,11,fixed,fail
keras,15,fixed,pass
spacy,7,buggy,fail
fastapi,6,fixed,pass
thefuck,13,buggy,fail
spacy,7,fixed,pass
pandas,1,buggy,fail
black,8,buggy,fail
keras,16,buggy,fail
spacy,8,buggy,fail
scrapy,12,buggy,fail
thefuck,13,fixed,pass
spacy,8,fixed,pass
sanic,4,buggy,fail
keras,16,fixed,pass
luigi,3,fixed,fail
black,8,fixed,pass
fastapi,7,buggy,fail
thefuck,14,buggy,fail
scrapy,12,fixed,fail
keras,17,buggy,pass
keras,17,fixed,pass
thefuck,14,fixed,pass
scrapy,13,buggy,fail
keras,18,buggy,fail
black,9,buggy,fail
fastapi,7,fixed,pass
thefuck,15,buggy,fail
keras,18,fixed,pass
scrapy,13,fixed,pass
sanic,4,fixed,fail
thefuck,15,fixed,pass
spacy,9,buggy,fail
keras,19,buggy,fail
black,9,fixed,pass
spacy,9,fixed,pass
keras,19,fixed,pass
thefuck,16,buggy,fail
luigi,4,buggy,fail
fastapi,8,buggy,fail
scrapy,14,buggy,fail
keras,20,buggy,fail
thefuck,16,fixed,pass
black,10,buggy,fail
keras,20,fixed,pass
thefuck,17,buggy,fail
fastapi,8,fixed,pass
scrapy,14,fixed,fail
black,10,fixed,pass
sanic,5,buggy,fail
thefuck,17,fixed,pass
keras,21,buggy,error
spacy,10,buggy,fail
thefuck,18,buggy,fail
scrapy,15,buggy,fail
fastapi,9,buggy,fail
spacy,10,fixed,pass
black,11,buggy,fail
keras,21,fixed,error
luigi,4,fixed,fail
thefuck,18,fixed,pass
keras,22,buggy,error
black,11,fixed,pass
scrapy,15,fixed,pass
thefuck,19,buggy,fail
fastapi,9,fixed,pass
sanic,5,fixed,pass
keras,22,fixed,error
thefuck,19,fixed,pass
scrapy,16,buggy,fail
black,12,buggy,fail
keras,23,buggy,error
fastapi,10,buggy,fail
thefuck,20,buggy,fail
thefuck,20,fixed,pass
black,12,fixed,pass
keras,23,fixed,error
luigi,5,buggy,fail
scrapy,16,fixed,pass
fastapi,10,fixed,pass
thefuck,21,buggy,fail
keras,24,buggy,fail
scrapy,17,buggy,fail
thefuck,21,fixed,pass
black,13,buggy,fail
fastapi,11,buggy,fail
thefuck,22,buggy,fail
keras,24,fixed,pass
black,13,fixed,pass
scrapy,17,fixed,pass
thefuck,22,fixed,pass
keras,25,buggy,fail
luigi,5,fixed,fail
fastapi,11,fixed,pass
pandas,1,fixed,pass
thefuck,23,buggy,fail
scrapy,18,buggy,fail
keras,25,fixed,pass
black,14,buggy,fail
thefuck,23,fixed,pass
keras,26,buggy,fail
black,14,fixed,pass
scrapy,18,fixed,pass
fastapi,12,buggy,fail
thefuck,24,buggy,fail
keras,26,fixed,pass
thefuck,24,fixed,pass
black,15,buggy,fail
scrapy,19,buggy,fail
keras,27,buggy,fail
luigi,6,buggy,fail
fastapi,12,fixed,pass
thefuck,25,buggy,fail
keras,27,fixed,pass
black,15,fixed,pass
thefuck,25,fixed,pass
scrapy,19,fixed,pass
keras,28,buggy,fail
fastapi,13,buggy,fail
thefuck,26,buggy,fail
keras,28,fixed,pass
black,16,buggy,fail
scrapy,20,buggy,fail
thefuck,26,fixed,pass
keras,29,buggy,fail
fastapi,13,fixed,pass
keras,29,fixed,pass
luigi,6,fixed,fail
thefuck,27,buggy,fail
black,16,fixed,pass
scrapy,20,fixed,pass
thefuck,27,fixed,pass
keras,30,buggy,fail
keras,30,fixed,pass
fastapi,14,buggy,fail
black,17,buggy,fail
thefuck,28,buggy,fail
scrapy,21,buggy,fail
keras,31,buggy,fail
thefuck,28,fixed,pass
black,17,fixed,pass
keras,31,fixed,pass
fastapi,14,fixed,pass
scrapy,21,fixed,pass
thefuck,29,buggy,fail
luigi,7,buggy,fail
keras,32,buggy,fail
thefuck,29,fixed,pass
black,18,buggy,fail
fastapi,15,buggy,fail
keras,32,fixed,pass
scrapy,22,buggy,fail
thefuck,30,buggy,fail
keras,33,buggy,fail
black,18,fixed,pass
thefuck,30,fixed,pass
scrapy,22,fixed,pass
fastapi,15,fixed,pass
keras,33,fixed,pass
thefuck,31,buggy,fail
keras,34,buggy,fail
black,19,buggy,fail
luigi,7,fixed,fail
scrapy,23,buggy,fail
thefuck,31,fixed,pass
keras,34,fixed,pass
fastapi,16,buggy,fail
black,19,fixed,pass
thefuck,32,buggy,fail
keras,35,buggy,fail
scrapy,23,fixed,pass
pandas,2,buggy,fail
thefuck,32,fixed,pass
keras,35,fixed,pass
black,20,buggy,fail
fastapi,16,fixed,pass
scrapy,24,buggy,fail
keras,36,buggy,fail
black,20,fixed,pass
luigi,8,buggy,fail
keras,36,fixed,pass
scrapy,24,fixed,pass
keras,37,buggy,fail
black,21,buggy,pass
keras,37,fixed,pass
scrapy,25,buggy,fail
black,21,fixed,pass
scrapy,25,fixed,fail
keras,38,buggy,fail
luigi,8,fixed,fail
black,22,buggy,fail
keras,38,fixed,pass
scrapy,26,buggy,fail
keras,39,buggy,fail
black,22,fixed,pass
scrapy,26,fixed,fail
keras,39,fixed,pass
black,23,buggy,fail
keras,40,buggy,fail
scrapy,27,buggy,fail
luigi,9,buggy,fail
black,23,fixed,pass
keras,40,fixed,pass
scrapy,27,fixed,pass
keras,41,buggy,fail
keras,41,fixed,pass
scrapy,28,buggy,fail
keras,42,buggy,fail
luigi,9,fixed,fail
scrapy,28,fixed,fail
keras,42,fixed,pass
scrapy,29,buggy,fail
keras,43,buggy,fail
pandas,2,fixed,pass
scrapy,29,fixed,pass
keras,43,fixed,pass
keras,44,buggy,fail
luigi,10,buggy,fail
scrapy,30,buggy,fail
keras,44,fixed,pass
scrapy,30,fixed,pass
keras,45,buggy,fail
scrapy,31,buggy,fail
keras,45,fixed,pass
luigi,10,fixed,fail
scrapy,31,fixed,pass
scrapy,32,buggy,fail
scrapy,32,fixed,pass
luigi,11,buggy,fail
scrapy,33,buggy,fail
scrapy,33,fixed,fail
luigi,11,fixed,fail
scrapy,34,buggy,fail
scrapy,34,fixed,pass
scrapy,35,buggy,fail
luigi,12,buggy,fail
scrapy,35,fixed,pass
pandas,3,buggy,fail
scrapy,36,buggy,fail
luigi,12,fixed,fail
scrapy,36,fixed,pass
scrapy,37,buggy,fail
scrapy,37,fixed,pass
luigi,13,buggy,fail
scrapy,38,buggy,fail
scrapy,38,fixed,fail
luigi,13,fixed,fail
scrapy,39,buggy,fail
scrapy,39,fixed,pass
scrapy,40,buggy,fail
luigi,14,buggy,fail
scrapy,40,fixed,pass
pandas,3,fixed,pass
luigi,14,fixed,fail
luigi,15,buggy,fail
luigi,15,fixed,fail
luigi,16,buggy,fail
luigi,16,fixed,fail
pandas,4,buggy,fail
luigi,17,buggy,fail
luigi,17,fixed,fail
luigi,18,buggy,fail
luigi,18,fixed,fail
pandas,4,fixed,pass
luigi,19,buggy,fail
luigi,19,fixed,fail
pandas,5,buggy,unknown
luigi,20,buggy,fail
pandas,5,fixed,unknown
luigi,20,fixed,fail
luigi,21,buggy,fail
luigi,21,fixed,fail
pandas,6,buggy,fail
luigi,22,buggy,fail
luigi,22,fixed,fail
luigi,23,buggy,fail
luigi,23,fixed,fail
pandas,6,fixed,pass
luigi,24,buggy,fail
pandas,7,buggy,fail
pandas,7,fixed,pass
luigi,24,fixed,fail
luigi,25,buggy,fail
luigi,25,fixed,fail
pandas,8,buggy,fail
luigi,26,buggy,fail
luigi,26,fixed,fail
luigi,27,buggy,fail
pandas,8,fixed,pass
luigi,27,fixed,fail
luigi,28,buggy,fail
luigi,28,fixed,fail
pandas,9,buggy,fail
luigi,29,buggy,fail
luigi,29,fixed,fail
pandas,9,fixed,pass
luigi,30,buggy,fail
luigi,30,fixed,fail
luigi,31,buggy,fail
luigi,31,fixed,fail
pandas,10,buggy,fail
luigi,32,buggy,fail
luigi,32,fixed,fail
pandas,10,fixed,pass
luigi,33,buggy,fail
luigi,33,fixed,fail
pandas,11,buggy,fail
pandas,11,fixed,pass
pandas,12,buggy,fail
pandas,12,fixed,pass
httpie,4,buggy,fail
httpie,4,fixed,pass
pandas,13,buggy,fail
pandas,13,fixed,pass
pandas,14,buggy,fail
pandas,14,fixed,pass
pandas,15,buggy,fail
